7/19/2007 12:00:00 AM .dat file Constant Record Subbasin  7in ARCGIS-SWAT2005  interface




 MONTH YEAR          FLOCNST          SEDCNST         ORGNCNST         ORGPCNST          NO3CNST          NH3CNST          NO2CNST         MINPCNST         CBODCNST        DISOXCNST         CHLACNST       SOLPSTCNST       SRBPSTCNST        BACTPCNST       BACTLPCNST        CMTL1CNST        CMTL2CNST        CMTL3CNST
     1 1991 1.4495000000E+03 1.9000000000E-02 0.0000000000E+00 3.7000000000E-01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 4.2100000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     2 1991 1.4495000000E+03 1.9000000000E-02 0.0000000000E+00 3.7000000000E-01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 4.2100000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     3 1991 1.4495000000E+03 1.9000000000E-02 0.0000000000E+00 3.7000000000E-01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 4.2100000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     4 1991 1.4495000000E+03 1.9000000000E-02 0.0000000000E+00 3.7000000000E-01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 4.2100000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     5 1991 1.4495000000E+03 1.9000000000E-02 0.0000000000E+00 3.7000000000E-01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 4.2100000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 1991 1.4495000000E+03 1.9000000000E-02 0.0000000000E+00 3.7000000000E-01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 4.2100000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 1991 1.4495000000E+03 1.9000000000E-02 0.0000000000E+00 3.7000000000E-01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 4.2100000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     8 1991 1.4495000000E+03 1.9000000000E-02 0.0000000000E+00 3.7000000000E-01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 4.2100000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     9 1991 1.4495000000E+03 1.9000000000E-02 0.0000000000E+00 3.7000000000E-01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 4.2100000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    10 1991 1.4495000000E+03 1.9000000000E-02 0.0000000000E+00 3.7000000000E-01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 4.2100000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
